mainname,alias
北京,北平
北京,京华
北京,京都
北京,帝都
北京,首都
北京,京城
天津,津门
天津,津沽
上海,申城
上海,沪上
上海,魔都
成都,蓉城
成都,天府
重庆,山城
重庆,雾都
武汉,江城
武汉,荆楚
深圳,鹏城
长春,春城
南京,石城
济南,泉城
洛阳,花城
广州,羊城
广州,穗城
西安,唐城
沈阳,奉天
沈阳,盛京
哈尔滨,上京
哈尔滨,冰城
杭州,杭城
杭州,临安
杭州,钱塘
宁波,甬城
温州,鹿城
绍兴,越城
嘉兴,秀城
湖州,湖城
金华,婺城
衢州,柯城
丽水,莲城
舟山,岛城
蚌埠,珠城
福州,榕城
东莞,莞城
南昌,樟城
十堰,车城
青岛,岛城
烟台,港城
长沙,星城
长沙,湘楚
湘潭,莲城
郑州,绿城
安庆,宜城
太原,晋阳
南昌,洪城
鞍山,钢都
自贡,盐都
抚顺,煤都
重庆,雾都
徐州,彭城
潮州,凤城
南宁,邕城
常德,柳城
景德镇,瓷都
平顶山,鹰城
南京,金陵
南京,建康
合肥,庐州
合肥,霸都
海口,椰城
乌鲁木齐,乌市
乌鲁木齐,迪化
呼和浩特,呼市
