name,adcode
济源,419001
仙桃,429004
潜江,429005
天门,429006
神农架林,429021
五指山,469001
琼海,469002
文昌,469005
万宁,469006
东方,469007
定安,469021
屯昌,469022
澄迈,469023
临高,469024
昌江,469026
白沙,469025
乐东,469027
陵水,469028
保亭,469029
琼中,469030
石河子,659001
阿拉尔,659002
图木舒克,659003
五家渠,659004
北屯,659005
铁门关,659006
双河,659007
可克达拉,659008
昆玉,659009
胡杨河,659010
新星,659011
白杨,659012
台湾省,710000
香港特别行政区,810000
中西区,810001
湾仔区,810002
东区,810003
南区,810004
油尖旺区,810005
深水埗区,810006
九龙城区,810007
黄大仙区,810008
观塘区,810009
荃湾区,810010
屯门区,810011
元朗区,810012
北区,810013
大埔区,810014
西贡区,810015
沙田区,810016
葵青区,810017
离岛区,810018
澳门特别行政区,820000
花地玛堂区,820001
花王堂区,820002
望德堂区,820003
大堂区,820004
风顺堂区,820005
嘉模堂区,820006
路凼填海区,820007
圣方济各堂区,820008
